student_id,first_name,last_name,school,grade,frl_status,ell_flag,sped_flag,dob
200095,Elijah,Martinez,Pinecrest,1,Free/Reduced,1,1,2009-06-07
200096,Olivia,Smith,Riverview,10,Paid,0,0,2010-10-16
200097,Noah,Brown,Mosley,10,Free/Reduced,0,0,2011-12-22
200098,Emma,Martin,Altura,7,Free/Reduced,0,0,2007-09-10
200099,Emma,Lopez,Riverview,3,Paid,0,0,2014-03-04
200100,Ava,Anderson,Sunset,7,Free/Reduced,0,1,2018-09-10
200101,Amelia,Johnson,Altura,10,Unknown,0,0,2016-12-13
200102,Olivia,Moore,Pinecrest,2,Paid,0,0,2015-08-08
200103,Mateo,Martin,Riverview,5,Paid,0,0,2011-04-11
200104,Elijah,Martin,Pinecrest,9,Free/Reduced,0,0,2013-09-01
200105,Ava,Lopez,Riverview,1,Free/Reduced,0,0,2014-11-09
200106,Sophia,Brown,Mosley,2,Paid,0,0,2011-02-06
200107,Mateo,Garcia,Pinecrest,10,Paid,0,0,2013-10-22
200108,Olivia,Johnson,Sunset,11,Free/Reduced,1,0,2016-07-03
200109,Elijah,Martinez,Riverview,6.0,Paid,0,0,2013-01-07
200110,Noah,Thomas,Mosley,5,Free/Reduced,1,0,2009-11-23
200111,Isabella,Martin,Sunset,hs-senior,Free/Reduced,0,0,2012-02-26
200112,Amelia,Taylor,Pinecrest,8,Paid,1,0,2016-05-13
200113,Ava,Moore,Riverview,1,Free/Reduced,0,0,2012-07-28
200114,Benjamin,Martinez,Pinecrest,11,Free/Reduced,1,1,2015-01-30
200115,Charlotte,Anderson,Sunset,3,Paid,0,0,2009-02-18
200116,Isabella,Taylor,Pinecrest,7,Free/Reduced,1,0,2010-04-12
200117,Amelia,Taylor,Altura,2,Free/Reduced,0,1,2019-01-19
200118,Mateo,Davis,Mosley,3,Free/Reduced,1,0,2019-04-14
200119,Olivia,Davis,Altura,hs-senior,Free/Reduced,0,0,2013-11-10
200120,Mia,Taylor,Pinecrest,5,Free/Reduced,0,0,2017-03-27
200121,Mia,Johnson,Mosley,10,Free/Reduced,0,0,2016-09-06
200122,Olivia,Brown,Altura,3,Paid,1,0,2011-09-21
200123,Mia,Martin,Riverview,11,Unknown,1,1,2016-02-05
200124,Ava,Anderson,mosley,3,Paid,0,0,2016-09-23
200125,Emma,Brown,Pinecrest,8,Paid,1,1,2011-04-04
200126,Elijah,Martin,Pinecrest,6.0,Paid,0,0,2010-04-01
200127,Liam,Lopez,Sunset,10,Paid,0,1,2011-04-01
200128,Amelia,Johnson,Pinecrest,11,Free/Reduced,0,0,2016-05-26
200129,Amelia,Garcia,Sunset,6.0,Paid,0,0,2017-06-17
200130,Olivia,Moore,Altura,11,Free/Reduced,1,0,2015-03-31
200131,Liam,Brown,Riverview,10,Paid,0,0,2011-03-25
200132,Mateo,Martin,Pinecrest,8,Free/Reduced,0,0,2013-08-15
200133,Emma,Thomas,Sunset,4,Paid,0,0,2012-02-09
200134,Emma,Thomas,Altura,4,Free/Reduced,0,0,2008-11-28
200135,Isabella,Jackson,Pinecrest,6.0,Paid,0,0,2011-06-18
200136,Ava,Brown,Altura,10,Free/Reduced,1,0,2010-10-11
200137,Mateo,Lopez,Sunset,hs-senior,Free/Reduced,1,0,2012-07-21
200138,Noah,Garcia,Altura,11,Paid,1,0,2008-02-01
200139,Liam,Martinez,Mosley,5,Free/Reduced,0,0,2018-12-12
200140,Sophia,Brown,Pinecrest,10,Paid,0,0,2014-01-09
200141,Emma,Moore ,Pinecrest,hs-senior,Paid,0,0,2018-11-29
200142,Benjamin,Wilson,Sunset,9,Paid,0,0,2017-11-13
200143,Mateo,Thomas,Altura,9,Free/Reduced,0,1,2016-04-23
200144,Isabella,Lopez,Altura,9,Free/Reduced,1,1,2011-10-10
200145,Liam,Martin,Altura,7,Free/Reduced,0,0,2016-06-28
200146,Mia,Moore,Altura,1,Paid,0,0,2007-10-09
200147,Charlotte,Wilson,Riverview,10,Free/Reduced,0,1,2010-10-06
200148,Benjamin,Johnson,Altura,11,Free/Reduced,1,0,2018-02-05
200149,Mateo,Lopez,Altura,K,Free/Reduced,0,0,2008-05-29
200150,Elijah,Moore,Pinecrest,10,Free/Reduced,0,0,2017-12-17
200151,Mia,Jackson,Riverview,4,Free/Reduced,0,0,2009-08-05
200152,Emma,Martin,Altura,1,Free/Reduced,0,1,2012-09-02
200153,James,Martinez,Altura,6.0,Paid,1,0,2012-10-12
200154,Liam,Anderson,Sunset,1,Free/Reduced,1,0,2017-06-04
200155,Benjamin,Thomas,altura,6.0,Free/Reduced,1,0,2012-08-01
200156,Olivia,Lopez,Pinecrest,hs-senior,Unknown,0,0,2015-02-28
200157,Liam,Martin,Pinecrest,11,Free/Reduced,0,0,2016-04-26
200158,Lucas,Garcia,Sunset,1,Paid,0,0,2011-01-01
200159,Lucas,Johnson,Pinecrest,11,Paid,0,0,2010-05-11
200160,Amelia,Davis,Mosley,10,Free/Reduced,0,0,2015-12-08
200161,Amelia,Martinez,Pinecrest,1,Paid,0,1,2012-01-09
200162,Elijah,Johnson,Riverview,11,Paid,0,1,2013-07-10
200163,Ava,Taylor,Pinecrest,10,Paid,0,0,2019-05-27
200164,Mateo,Davis,Mosley,11,Unknown,0,1,2015-02-10
200165,Mateo,Martinez,Sunset,2,Paid,1,0,2008-06-21
200166,Liam,Jackson,Sunset,hs-senior,Paid,0,0,2010-06-04
200167,Olivia,Brown,Sunset,8,Unknown,0,0,2011-01-28
200168,Emma,Jackson,Pinecrest,2,Paid,1,0,2010-03-06
200169,Ava,Thomas,Riverview,K,Free/Reduced,1,1,2009-07-18
200170,James,Moore,Sunset,2,Paid,0,0,2018-08-13
200171,Mia,Taylor,Sunset,7,Free/Reduced,1,0,2007-10-09
200172,Charlotte,Lopez,Pinecrest,4,Paid,0,0,2017-05-01
200173,Mateo,Brown,Pinecrest,2,Free/Reduced,1,0,2018-09-09
200174,Noah,Davis,Sunset,7,Free/Reduced,0,0,2016-07-08
200175,James,Brown,Altura,9,Free/Reduced,1,0,2012-01-25
200176,Amelia,Martin,Mosley,1,Free/Reduced,0,0,2010-04-17
200177,Amelia,Martinez,Pinecrest,hs-senior,Free/Reduced,0,0,2016-10-27
200178,Benjamin,Moore,Mosley,8,Free/Reduced,0,0,2007-12-26
200179,Liam,Wilson,Riverview,hs-senior,Free/Reduced,0,0,2011-06-21
200180,Charlotte,Davis,Mosley,9,Paid,0,0,2008-04-01
200181,Mia,Wilson,Altura,1,Paid,0,0,2015-02-11
200182,Isabella,Wilson,Altura,5,Free/Reduced,0,0,2010-03-06
200183,Sophia,Johnson,Pinecrest,3,Paid,1,0,2008-11-01
200184,Ava,Wilson,Sunset,10,Free/Reduced,1,0,2011-08-10
200185,Lucas,Johnson,Pinecrest,hs-senior,Paid,0,0,2014-04-27
200186,Sophia,Taylor,pinecrest,8,Paid,0,0,2018-12-01
200187,Mateo,Johnson,Altura,4,Free/Reduced,1,0,2017-08-17
200188,Benjamin,Garcia ,Sunset,11,Free/Reduced,0,0,2013-02-10
200189,Liam,Brown,Mosley,hs-senior,Unknown,0,0,2018-12-22
200190,James,Jackson,Riverview,3,Paid,0,1,2013-01-29
200191,James,Wilson,Riverview,5,Free/Reduced,1,0,2012-05-09
200192,Mia,Anderson,Riverview,10,Free/Reduced,1,1,2012-08-02
200193,Sophia,Thomas,Pinecrest,4,Free/Reduced,0,0,2015-10-07
200194,Ava,Brown,Sunset,6.0,Paid,0,0,2007-09-02
200195,Sophia,Martinez,Pinecrest,7,Free/Reduced,1,0,2013-11-26
200196,Lucas,Garcia,Sunset,2,Free/Reduced,1,0,2011-02-04
200197,Emma,Smith,Sunset,2,Unknown,0,0,2018-01-04
200198,Olivia,Martin,Mosley,7,Paid,0,0,2014-02-16
200199,Olivia,Garcia,Riverview,9,Free/Reduced,0,0,2012-03-13
200200,Amelia,Wilson,Sunset,11,Free/Reduced,0,0,2010-04-26
200201,Charlotte,Martinez,Pinecrest,K,Free/Reduced,0,1,2010-06-05
200202,Mia,Martin,Sunset,6.0,Free/Reduced,0,0,2019-06-22
200203,Liam,Jackson,Pinecrest,7,Free/Reduced,0,0,2018-05-29
200204,Sophia,Martin,Mosley,10,Free/Reduced,0,1,2008-01-07
200205,Sophia,Wilson,Altura,3,Unknown,0,0,2014-06-10
200206,Isabella,Martin,Riverview,9,Paid,0,0,2012-10-07
200207,Lucas,Martin,Pinecrest,9,Unknown,1,0,2014-04-05
200208,Isabella,Martin,Sunset,hs-senior,Free/Reduced,1,0,2014-11-15
200209,Emma,Jackson,Mosley,1,Paid,0,1,2018-12-06
200210,Olivia,Johnson,Sunset,10,Free/Reduced,1,0,2009-11-30
200211,Sophia,Anderson,Mosley,9,Paid,0,0,2011-08-11
200212,Ava,Smith,Riverview,K,Paid,0,0,2010-04-19
200213,Benjamin,Anderson,Riverview,11,Free/Reduced,0,0,2010-11-21
200214,Lucas,Moore,Altura,8,Free/Reduced,0,0,2014-03-18
200215,Olivia,Martin,Sunset,hs-senior,Free/Reduced,0,0,2012-09-12
200216,Emma,Moore,Pinecrest,9,Free/Reduced,0,0,2010-04-21
200217,Emma,Garcia,sunset,hs-senior,Free/Reduced,0,0,2012-04-08
200218,Liam,Smith,Pinecrest,11,Free/Reduced,0,0,2017-09-02
200219,Charlotte,Wilson,Pinecrest,3,Paid,0,0,2012-09-19
200220,Ava,Moore,Altura,9,Unknown,0,0,2011-01-26
200221,Lucas,Thomas,Mosley,9,Free/Reduced,1,1,2010-08-08
200222,Isabella,Taylor,Pinecrest,4,Paid,0,0,2008-01-24
200223,Mia,Garcia,Altura,6.0,Free/Reduced,0,1,2009-05-23
200224,Emma,Smith,Altura,5,Free/Reduced,0,0,2010-04-26
200225,Benjamin,Jackson,Sunset,7,Unknown,0,0,2018-05-12
200226,Isabella,Davis,Riverview,10,Free/Reduced,0,0,2011-01-24
200227,Olivia,Thomas,Pinecrest,10,Free/Reduced,0,0,2007-11-12
200228,Elijah,Smith,Mosley,5,Free/Reduced,0,0,2014-09-08
200229,Amelia,Taylor,Sunset,4,Paid,0,0,2019-01-14
200230,Mia,Davis,Sunset,hs-senior,Paid,0,0,2019-03-13
200231,Elijah,Davis,Riverview,hs-senior,Free/Reduced,0,0,2008-03-26
200232,Isabella,Martin,Riverview,11,Free/Reduced,0,1,2014-09-06
200233,Benjamin,Jackson,Altura,hs-senior,Free/Reduced,0,0,2014-02-24
200234,Lucas,Martin,Riverview,9,Free/Reduced,0,0,2015-06-02
200235,Amelia,Davis ,Altura,1,Free/Reduced,0,0,2014-04-05
200236,Emma,Johnson,Pinecrest,8,Free/Reduced,0,0,2016-08-11
200237,Liam,Lopez,Altura,10,Paid,0,0,2018-11-29
200238,Charlotte,Smith,Altura,11,Free/Reduced,1,1,2008-01-12
200239,Mia,Lopez,Mosley,1,Free/Reduced,0,0,2019-08-10
200240,Lucas,Johnson,Altura,11,Paid,0,0,2008-04-25
200241,James,Garcia,Riverview,6.0,Free/Reduced,0,0,2010-04-21
200242,Lucas,Garcia,Altura,10,Free/Reduced,0,1,2017-07-13
200243,Liam,Jackson,Altura,9,Free/Reduced,0,0,2013-01-05
200244,Isabella,Anderson,Altura,hs-senior,Free/Reduced,0,1,2013-07-01
200245,Lucas,Brown,Altura,10,Free/Reduced,0,0,2009-05-01
200246,Noah,Garcia,Pinecrest,11,Paid,0,0,2019-03-21
200247,Olivia,Lopez,Sunset,10,Free/Reduced,0,0,2013-07-10
200248,Olivia,Martin,altura,6.0,Unknown,0,0,2013-12-11
200249,Olivia,Martinez,Sunset,2,Free/Reduced,0,0,2008-04-29
200250,James,Martinez,Mosley,1,Free/Reduced,0,0,2014-05-09
200251,Charlotte,Martinez,Pinecrest,1,Free/Reduced,0,0,2018-03-02
200252,Liam,Wilson,Pinecrest,9,Paid,0,1,2014-12-25
200253,Lucas,Smith,Sunset,hs-senior,Paid,0,0,2008-04-29
200254,Isabella,Moore,Pinecrest,11,Free/Reduced,0,0,2007-11-18
200255,Ava,Moore,Riverview,11,Free/Reduced,1,0,2010-06-28
200256,James,Wilson,Altura,10,Free/Reduced,0,0,2012-03-26
200257,Noah,Martinez,Riverview,7,Unknown,1,1,2014-08-21
200258,Amelia,Brown,Altura,1,Paid,0,0,2011-12-22
200259,Charlotte,Moore,Pinecrest,10,Free/Reduced,1,0,2010-04-20
200260,Ava,Garcia,Sunset,10,Paid,0,0,2008-09-04
200261,Isabella,Martinez,Altura,7,Free/Reduced,0,1,2018-07-28
200262,Amelia,Johnson,Altura,5,Paid,0,0,2017-10-15
200263,Olivia,Garcia,Mosley,2,Free/Reduced,1,0,2018-10-19
200264,Isabella,Martin,Pinecrest,11,Paid,0,0,2015-01-30
200265,Benjamin,Wilson,Sunset,8,Free/Reduced,0,0,2009-06-23
200266,Mateo,Anderson,Pinecrest,K,Free/Reduced,0,0,2008-06-09
200267,Liam,Brown,Altura,5,Free/Reduced,0,0,2009-01-27
200268,Charlotte,Davis,Riverview,9,Paid,0,0,2008-08-27
200269,Isabella,Wilson,Mosley,10,Unknown,0,0,2017-06-02
200270,Lucas,Thomas,Sunset,11,Paid,0,0,2014-08-22
200271,Noah,Davis,Pinecrest,11,Paid,0,0,2014-11-17
200272,Mia,Lopez,Riverview,7,Free/Reduced,0,0,2012-12-12
200273,Elijah,Davis,Sunset,6.0,Free/Reduced,0,0,2013-05-17
200274,Benjamin,Garcia,Mosley,6.0,Free/Reduced,1,0,2017-06-26
200275,Elijah,Martinez,Sunset,8,Paid,0,0,2009-04-16
200276,Mia,Moore,Pinecrest,7,Free/Reduced,0,0,2009-02-23
200277,Isabella,Davis,Mosley,11,Free/Reduced,0,0,2010-12-20
200278,Ava,Johnson,Riverview,1,Paid,0,0,2012-09-10
200279,Ava,Smith,sunset,7,Free/Reduced,0,1,2013-08-11
200280,Mateo,Lopez,Sunset,8,Free/Reduced,0,0,2017-10-14
200281,Benjamin,Martin,Sunset,9,Paid,0,0,2009-02-28
200282,Benjamin,Thomas ,Pinecrest,11,Free/Reduced,1,0,2014-03-31
200283,Olivia,Thomas,Altura,10,Free/Reduced,0,0,2012-10-05
200284,Lucas,Davis,Mosley,2,Free/Reduced,1,0,2011-08-02
200285,Amelia,Thomas,Mosley,4,Free/Reduced,1,0,2017-03-03
200286,Olivia,Thomas,Pinecrest,4,Free/Reduced,1,0,2013-12-15
200287,Mateo,Anderson,Mosley,5,Paid,0,0,2009-07-03
200288,Elijah,Taylor,Pinecrest,8,Unknown,0,0,2019-05-01
200289,Isabella,Martinez,Mosley,9,Free/Reduced,0,0,2012-12-14
200290,Lucas,Jackson,Altura,2,Free/Reduced,0,0,2016-01-19
200291,Ava,Smith,Pinecrest,3,Free/Reduced,0,0,2019-05-13
200292,Ava,Johnson,Altura,7,Free/Reduced,0,1,2016-04-03
200293,Isabella,Johnson,Pinecrest,7,Paid,0,0,2009-05-03
200294,Mia,Smith,Mosley,4,Free/Reduced,0,0,2015-04-23
200295,Emma,Davis,Altura,4,Unknown,0,0,2013-06-14
200296,Lucas,Wilson,Riverview,hs-senior,Free/Reduced,0,0,2012-08-19
200297,Lucas,Taylor,Riverview,10,Unknown,0,0,2014-08-30
200298,Amelia,Anderson,Sunset,9,Paid,0,1,2017-04-26
200299,Amelia,Johnson,Mosley,11,Paid,0,1,2015-10-25
200300,Amelia,Smith,Altura,6.0,Paid,1,0,2015-12-01
200301,Benjamin,Davis,Pinecrest,1,Paid,0,1,2012-11-23
200302,Emma,Martinez,Sunset,5,Unknown,1,0,2017-10-29
200303,Mateo,Martinez,Riverview,8,Paid,1,0,2008-04-14
200304,James,Moore,Pinecrest,11,Free/Reduced,0,0,2015-11-08
200305,Amelia,Moore,Mosley,4,Paid,1,0,2018-11-01
200306,Emma,Moore,Pinecrest,1,Free/Reduced,0,0,2010-09-03
200307,Lucas,Lopez,Sunset,5,Paid,0,1,2010-03-19
200308,Ava,Garcia,Sunset,1,Free/Reduced,0,0,2014-07-07
200309,Lucas,Garcia,Mosley,11,Free/Reduced,0,0,2011-04-29
200310,Emma,Martinez,sunset,hs-senior,Paid,0,0,2013-11-05
200311,Mia,Smith,Pinecrest,K,Free/Reduced,0,0,2008-01-20
200312,Noah,Martinez,Riverview,6.0,Unknown,0,0,2008-06-07
200313,Elijah,Wilson,Altura,hs-senior,Free/Reduced,0,1,2015-09-25
200314,Isabella,Brown,Pinecrest,K,Unknown,0,0,2011-11-10
200315,Mia,Garcia,Altura,10,Free/Reduced,0,0,2014-02-23
200316,Ava,Wilson,Mosley,11,Free/Reduced,0,0,2007-10-11
200317,Noah,Taylor,Pinecrest,11,Paid,0,1,2016-06-03
200318,Charlotte,Lopez,Riverview,11,Free/Reduced,0,0,2012-01-03
200319,Emma,Martinez,Altura,11,Paid,0,0,2017-04-17
200320,Lucas,Garcia,Pinecrest,1,Unknown,0,0,2011-08-18
200321,Amelia,Davis,Riverview,10,Paid,1,0,2011-12-22
200322,Noah,Anderson,Sunset,3,Free/Reduced,0,0,2009-04-01
200323,Olivia,Moore,Pinecrest,9,Paid,0,0,2013-11-09
200324,Lucas,Johnson,Riverview,7,Free/Reduced,0,0,2013-07-11
200325,James,Smith,Sunset,7,Free/Reduced,0,0,2013-05-28
200326,Benjamin,Smith,Mosley,K,Free/Reduced,0,0,2013-01-20
200327,Benjamin,Thomas,Mosley,hs-senior,Free/Reduced,0,0,2010-01-03
200328,Emma,Brown,Pinecrest,8,Free/Reduced,0,0,2011-05-19
200329,Charlotte,Martin ,Altura,6.0,Paid,1,0,2010-10-07
200330,Amelia,Jackson,Mosley,11,Unknown,1,0,2008-02-21
200331,Sophia,Martin,Mosley,K,Paid,0,0,2010-05-17
200332,Ava,Garcia,Riverview,2,Free/Reduced,0,0,2017-02-09
200333,Mia,Anderson,Pinecrest,9,Paid,0,0,2010-02-26
200334,Liam,Brown,Pinecrest,9,Paid,0,0,2017-06-25
200335,James,Davis,Pinecrest,hs-senior,Paid,0,0,2013-11-30
200336,Ava,Lopez,Sunset,K,Free/Reduced,0,0,2011-08-02
200337,Lucas,Davis,Pinecrest,9,Free/Reduced,0,0,2018-09-03
200338,Olivia,Thomas,Sunset,3,Free/Reduced,0,0,2016-03-31
200339,Sophia,Wilson,Pinecrest,K,Free/Reduced,0,0,2012-12-26
200340,Sophia,Johnson,Altura,6.0,Free/Reduced,1,0,2016-06-24
200341,Mia,Jackson,riverview,6.0,Free/Reduced,0,0,2015-09-07
200342,Olivia,Martinez,Riverview,11,Paid,0,0,2012-11-13
200343,Liam,Martinez,Mosley,hs-senior,Free/Reduced,0,0,2011-02-09
200344,Mia,Johnson,Mosley,2,Free/Reduced,0,0,2008-01-02
200345,Emma,Brown,Pinecrest,9,Paid,1,0,2012-12-19
200346,James,Davis,Riverview,2,Paid,0,0,2014-03-18
200347,Mia,Brown,Mosley,4,Free/Reduced,0,0,2011-12-05
200348,Amelia,Taylor,Riverview,5,Paid,0,0,2010-10-09
200349,Liam,Taylor,Mosley,10,Paid,0,0,2017-11-22
200350,Isabella,Brown,Mosley,6.0,Free/Reduced,0,0,2017-11-17
200351,Charlotte,Taylor,Pinecrest,10,Free/Reduced,1,0,2011-10-20
200352,Amelia,Martinez,Pinecrest,4,Paid,1,0,2013-09-03
200353,Isabella,Moore,Riverview,11,Paid,0,0,2017-03-20
200354,Benjamin,Wilson,Riverview,9,Paid,0,0,2018-01-28
200355,Liam,Moore,Pinecrest,10,Paid,1,0,2012-10-07
200356,Noah,Jackson,Riverview,11,Paid,0,1,2014-06-26
200357,Emma,Jackson,Pinecrest,3,Paid,0,1,2018-05-12
200358,Olivia,Thomas,Altura,4,Free/Reduced,1,0,2009-07-27
200359,Benjamin,Anderson,Pinecrest,hs-senior,Free/Reduced,1,0,2009-02-23
200360,Sophia,Brown,Sunset,11,Paid,0,0,2013-10-14
200361,Lucas,Smith,Pinecrest,9,Free/Reduced,0,0,2008-10-18
200362,Charlotte,Davis,Mosley,8,Paid,0,0,2013-05-24
200363,James,Brown,Riverview,4,Free/Reduced,0,0,2011-10-07
200364,James,Wilson,Mosley,3,Free/Reduced,1,1,2018-07-10
200365,Sophia,Taylor,Altura,8,Paid,0,0,2015-05-30
200366,Emma,Brown,Riverview,9,Free/Reduced,1,0,2012-01-07
200367,Noah,Garcia,Sunset,4,Paid,1,0,2013-12-25
200368,James,Taylor,Sunset,4,Free/Reduced,0,0,2011-02-16
200369,Isabella,Jackson,Altura,4,Paid,0,0,2014-05-04
200370,Emma,Moore,Sunset,5,Free/Reduced,0,0,2009-11-27
200371,James,Brown,Pinecrest,6.0,Unknown,0,0,2012-12-31
